Date,Bus Route No.,From,To,Trips per Day,Way,Bus Stops Covered,Frequency (mins),Distance Travelled (km),Time (mins),Main Station,Tickets Sold,Revenue Generated (INR)
01-01-2022,156S,Nagole Ring Road,Anajpur,8,Round Trip,34,60,59.68,47,Koti,369,1475.35
01-01-2022,45HK,HCU Bus Depot,Bachupally X Road,8,One-way,11,27,28.72,61,Hitech City,359,4144.82
02-01-2022,201M,High Court Colony Deer Park,Kavadi Pally,10,One Way,7,10,20.12,58,Koti,261,2785.52
02-01-2022,127VB,Rythu Bazar Erragadda,koti,2,One-way,7,46,27.37,64,Hitech City,196,3355.805813
03-01-2022,201M,High Court Colony Deer Park,Majeedpur,10,Round Trip,34,48,85.46,28,Koti,428,2216.25
03-01-2022,86V,Koti Women's College,Anajpur,2,One Way,14,46,6.79,120,Koti,404,4945.3
04-01-2022,11,Waverock,ECIL X Road,18,One-way,14,32,34.26,83,Hitech City,301,4731.7
05-01-2022,156S,Secunderabad (Medchal),Brahmanpally,6,Round Trip,42,19,9.61,78,Koti,436,3789.89
05-01-2022,16A/47LI,L.B. Nagar ring Road,Infotech,4,One-way,13,20,41.27,96,Hitech City,272,4842.51
06-01-2022,40T,Koti Women's College,Abdullapurmet,5,Round Trip,16,46,17.16,107,Koti,346,2451.66
07-01-2022,205B,Madhapur Petrol Pump,Kothagudem,6,Round Trip,17,44,44.35,35,Koti,264,4444.68
07-01-2022,127K/S,VBIT,Infotech,19,One-way,5,51,36.71,105,Hitech City,90,1232.37
08-01-2022,127K,Waverock,Infosys,12,One-way,20,47,20.64,39,Hitech City,94,4785.83
11-01-2022,205B,Mehdipatnam,Dilsukhnagar,9,One Way,17,18,27.91,45,Koti,153,1520.44
12-01-2022,86V,Nagole Ring Road,Anajpur,14,Round Trip,30,17,64.64,114,Koti,337,1783.57
12-01-2022,222P,Central Bus station,Image Garden Bus Stop,12,One-way,24,29,21.91,49,Hitech City,252,3696.08
13-01-2022,40T,Madhapur Petrol Pump,Majeedpur,18,Round Trip,24,34,24.88,43,Koti,407,2148.21
13-01-2022,16A/47LI,Waverock,Infosys,7,Round-trip,9,26,33.98,44,Hitech City,335,3594.02
14-01-2022,205B,Mehdipatnam,Marripally,3,Round Trip,24,43,81.91,47,Koti,238,3707.46
