Date,Bus Route No.,From,To,Way,Time (mins),Main Station,Trips per Day,Bus Stops Covered,Frequency (mins),Distance Travelled (km),Tickets Sold,Revenue Generated (INR)
2022-01-01,156S,Nagole Ring Road,Anajpur,Round Trip,47,Koti,8,34.0,57.5,59.68,369.0,1475.35
2022-01-01,45HK,HCU Bus Depot,Bachupally X Road,One Way,61,Hitech City,8,11.0,27.0,28.72,359.0,4144.82
2022-01-02,201M,High Court Colony Deer Park,Kavadi Pally,One Way,58,Koti,10,7.0,10.0,20.12,261.0,2785.52
2022-01-02,127VB,Rythu Bazar Erragadda,koti,One Way,64,Hitech City,2,7.0,46.0,27.37,196.0,3355.805813
2022-01-03,201M,High Court Colony Deer Park,Majeedpur,Round Trip,28,Koti,10,34.0,48.0,75.035,428.0,2216.25
2022-01-03,86V,Koti Women's College,Anajpur,One Way,120,Koti,2,14.0,46.0,6.79,404.0,4945.3
2022-01-04,11,Waverock,ECIL X Road,One Way,83,Hitech City,18,14.0,32.0,34.26,301.0,4731.7
2022-01-05,156S,Secunderabad (Medchal),Brahmanpally,Round Trip,78,Koti,6,42.0,19.0,9.61,436.0,3789.89
2022-01-05,16A/47LI,L.B. Nagar ring Road,Infotech,One Way,96,Hitech City,4,13.0,20.0,41.27,272.0,4842.51
2022-01-06,40T,Koti Women's College,Abdullapurmet,Round Trip,107,Koti,5,16.0,46.0,17.16,346.0,2451.66
2022-01-07,205B,Madhapur Petrol Pump,Kothagudem,Round Trip,35,Koti,6,17.0,44.0,44.35,264.0,4444.68
2022-01-07,127K/S,VBIT,Infotech,One Way,105,Hitech City,19,5.0,51.0,36.71,90.0,1232.37
2022-01-08,127K,Waverock,Infosys,One Way,39,Hitech City,12,20.0,47.0,20.64,94.0,4785.83
2022-01-11,205B,Mehdipatnam,Dilsukhnagar,One Way,45,Koti,9,17.0,18.0,27.91,153.0,1520.44
2022-01-12,86V,Nagole Ring Road,Anajpur,Round Trip,114,Koti,14,30.0,17.0,64.64,337.0,1783.57
2022-01-12,222P,Central Bus station,Image Garden Bus Stop,One Way,49,Hitech City,12,24.0,29.0,21.91,252.0,3696.08
2022-01-13,40T,Madhapur Petrol Pump,Majeedpur,Round Trip,43,Koti,18,24.0,34.0,24.88,407.0,2148.21
2022-01-13,16A/47LI,Waverock,Infosys,Round Trip,44,Hitech City,7,9.0,26.0,33.98,335.0,3594.02
2022-01-14,205B,Mehdipatnam,Marripally,Round Trip,47,Koti,3,24.0,43.0,75.035,238.0,3707.46
2022-01-14,216D/L,Secunderabad (Medchal),Anajpur,One Way,87,Koti,18,40.0,22.0,67.96,120.0,2265.15
2022-01-14,205B,Mehdipatnam,Marripally,Round Trip,112,Koti,19,41.0,56.0,75.035,105.0,4140.04
2022-01-14,127VB,Rythu Bazar Erragadda,Safilguda,Round Trip,100,Hitech City,15,23.0,35.0,44.07,392.0,3012.34
2022-01-15,298,Suchitra X Road,Greenland Colony,One Way,30,Koti,8,29.0,49.0,53.36,425.0,2572.29
2022-01-15,127VB,Rythu Bazar Erragadda,koti,One Way,74,Hitech City,1,8.0,37.0,22.49,176.0,1986.41
2022-01-15,19M/224,KPHB,Nampally,Round Trip,29,Ameerpet,9,23.0,30.0,45.15,459.0,9286.03
2022-01-15,19F/A,Koti,Kondapur Bus Station,Round Trip,66,Ameerpet,11,16.0,10.0,45.9,388.0,3271.75
2022-01-15,272C,Sanath Nagar,Secunderabad Bus Station,One Way,110,Ameerpet,19,25.0,20.0,24.75,265.0,12844.66
2022-01-15,41,Jeedimetla,Lingampally,Round Trip,114,Ameerpet,15,29.0,10.0,27.95,434.0,8073.62
2022-01-15,9D,BHEL,Balanagar X Road,Round Trip,114,Ameerpet,6,14.0,15.0,49.91,483.0,3670.15
2022-01-16,201M,Secunderabad (Medchal),Marripally,One Way,46,Koti,11,18.0,11.0,24.96,492.0,4410.22
2022-01-16,206,Suchitra X Road,Musheerabad,One Way,67,Koti,10,8.0,21.0,52.56,236.0,1042.4
2022-01-16,189M/92A,Gandimaisamma X Road,Afzalgunj,Round Trip,75,Ameerpet,15,25.0,20.0,39.38,378.0,11670.27
2022-01-16,9X/272G,Aramghar,VV Nagar,Round Trip,49,Ameerpet,7,16.0,20.0,42.19,341.0,9528.34
2022-01-16,19M/224,Borabanda,Afzalgunj,Round Trip,57,Ameerpet,15,12.0,20.0,30.09,448.0,8084.16
2022-01-16,189M,NGO Colony,Gajula Ramaram,Round Trip,77,Ameerpet,13,15.0,5.0,46.21,289.0,5888.4
2022-01-16,224H,Charminar,Lingampally,Round Trip,87,Ameerpet,19,5.0,15.0,7.83,452.0,12479.66
2022-01-17,201G,TSRTC pushpak,Koti Bus Terminal,One Way,66,Koti,18,31.0,46.0,58.67,422.0,2812.3
2022-01-17,38S/47V,HCU Bus Depot,Image Garden Bus Stop,Round Trip,46,Hitech City,2,11.0,22.0,29.3,343.0,2434.31
2022-01-17,19M/224,Charminar,Kondapur Bus Station,One Way,15,Ameerpet,17,5.0,15.0,28.39,264.0,12343.58
2022-01-17,225HP,Mehdipatnam,Gandimaisamma,One Way,92,Ameerpet,8,16.0,15.0,36.74,298.0,14457.24
2022-01-17,225A,Central Bus Station,Film Nagar,One Way,77,Ameerpet,10,19.0,15.0,42.94,419.0,3436.3
2022-01-17,113EL,L.B. Nagar,Afzalgunj,One Way,76,Ameerpet,15,13.0,10.0,25.0,224.0,10943.92
2022-01-18,1P/25S,TSRTC pushpak,Kothagudem,One Way,88,Koti,12,8.0,33.0,75.035,290.0,4246.84
2022-01-18,9K/283K,Charminar,Shamshiguda,Round Trip,112,Ameerpet,6,15.0,20.0,8.59,291.0,13766.15
2022-01-19,218L/V,Borabanda,Afzalgunj,One Way,69,Ameerpet,16,19.0,15.0,40.38,281.0,11278.96
2022-01-19,189R,Suraram,Bachupally,Round Trip,13,Ameerpet,8,7.0,20.0,28.5,456.0,4888.19
2022-01-19,189 MJ,Aramghar,Kachiguda,Round Trip,17,Ameerpet,18,6.0,15.0,35.64,158.0,7925.84
2022-01-19,225L/299,Jagadgirigutta,Nampally,One Way,77,Ameerpet,15,16.0,20.0,43.82,167.0,8993.16
2022-01-19,189M/A,L.B. Nagar,Shamshiguda,One Way,86,Ameerpet,19,17.0,5.0,42.21,200.0,15081.79178
2022-01-19,187JL,MGBS,Bachupally,One Way,60,Ameerpet,8,30.0,30.0,9.13,164.0,4968.41
2022-01-19,218/19M,BHEL,Gandimaisamma,One Way,45,Ameerpet,5,25.0,15.0,16.17,343.0,3302.69
2022-01-19,230N,Suraram,Balanagar X Road,One Way,61,Ameerpet,13,26.0,5.0,29.34,353.0,5162.27
2022-01-20,16A/47LI,VBIT,Infotech,One Way,112,Hitech City,6,22.0,43.0,10.78,470.0,1474.01
